ID,Nome,Endereco,Preco_Score
1,Robert Stout,"56350 Thomas Brooks, Gregoryshire, OK 47868",79.60555786133638
2,Stephanie Khan,"47249 Vincent Crossroad, Lake Christopherton, HI 81329",76.64573607173347
3,James Galvan,"124 Hart Lake, Byrdtown, FL 40248",27.590210507103098
4,Andrew Smith,"85426 Robin Canyon, Andersonchester, VT 81245",19.312102905465533
5,Sarah Perry,"54141 Williams Pike Apt. 473, Lake Alisonberg, NV 62017",78.9899319372873
6,Laura Ruiz MD,"78949 Rhonda Court Apt. 942, Gilbertport, OH 30260",30.962171934710856
7,Karen Mays,"33108 Wyatt River, East Eric, PW 12450",34.645648659713956
8,Elizabeth Coleman,"2989 Evan Fork Apt. 544, West Francisco, IL 18254",42.45023588353696
9,Jessica Mcdonald,"220 Audrey Curve, Wheelerchester, MI 66690",48.92551735886555
10,Mark Costa,"48338 Leslie Plains Suite 143, Amandafurt, ME 15929",77.02502028658938
11,Steve Smith,"103 Sabrina Mission, East Angelafort, WV 02117",11.572055358685333
12,John Ayala,"921 Young Terrace Suite 878, Port Amber, AZ 06351",39.19324574507821
13,Joshua Acevedo,"7148 Adams Course Suite 099, East Barbarahaven, PA 55138",25.52317910156149
14,Patrick Hogan,"47488 Garcia Landing Suite 931, Port Gina, CA 54103",78.72011059542427
15,Roberto Brock,"46327 Garcia Curve Suite 214, Bettychester, KY 19868",53.21236954357027
16,James Burgess,"879 Castaneda Ridge, South Carrie, NH 48998",14.152320863591369
17,Brian Anderson,"168 David Points, Kimfort, NE 18887",28.640391915201164
18,Martha Hancock,"1935 Wells Knolls Apt. 346, New Gabrielle, MD 04740",39.05391250104796
19,Gregory Horn,"2695 Wagner Tunnel Apt. 946, East Michelleshire, ID 88043",65.0773656676592
20,Andrew Martin,"1357 Jasmine Summit Apt. 612, Ryanburgh, RI 42408",34.82532157397279
21,Kelli French,"72176 Anna Track Suite 816, Bethshire, GA 91617",95.21047865868535
22,Patrick Lopez,"3412 Brandon Turnpike Apt. 159, South Jesus, AS 84949",60.79446339952197
23,Bruce Roman,"08437 Nguyen Mill, Johnsonfort, WV 81402",81.98306619269141
24,Stephanie Jones,"53779 Hubbard Canyon, Friedmanberg, LA 57255",49.01695213166285
25,Susan Austin,"5746 Tiffany Stravenue, Lauraborough, VT 05366",47.08516511765278
26,Victoria Green,"0315 Diana Lodge Apt. 743, Lake Lucasmouth, AZ 80177",95.09256642101371
27,Frank Gates,"196 Austin Ways Suite 217, Ronaldmouth, MI 64022",72.67706682928647
28,Taylor Parker,"429 Armstrong Turnpike, Susanview, LA 19545",99.18625325303455
29,Sara Johnson,"022 Hill Tunnel, New Jessica, NC 23750",14.415062714464447
30,Jill Case,"45752 Ashley Via, Jasontown, NM 59448",54.83791501601514
31,Steven Holden,"USS Bentley, FPO AE 49043",58.61841304111255
32,Caitlin Aguilar,"3302 Rhonda Forest Apt. 992, Elizabethbury, VT 83890",85.01226138516338
33,Jay Hensley,"6267 Raymond Loop Apt. 053, Lake Amy, NJ 07361",43.11700780166623
34,Stacy Thomas,"40599 Sanchez Loaf, East Rebeccaberg, OR 52729",53.7502330743155
35,Frank Rose,"0519 Laura Expressway Suite 847, South Harrymouth, AS 41963",64.53376314881132
36,Stephanie Green,"15059 Brandon Fork Suite 464, Jordanton, ME 29834",17.22192049289992
37,Tracy Hernandez,"376 Oliver Centers Suite 585, Littleton, MO 24392",74.18357583732973
38,Mark Sanchez,"679 Amy Parkway Suite 572, Walshberg, FL 39213",30.355078224460247
39,Casey Diaz,"4331 George Heights Suite 117, Sydneytown, CA 05290",62.986005838771185
40,Amber Fernandez,"08928 Robert Mission Apt. 717, Lake Levichester, AK 46572",95.4606743696757
41,Jessica Jordan,"6904 Collins Lodge, Port Sharon, MN 38784",67.78172622490007
42,Anna Haney,"016 Malone Mills, East Patrickbury, NM 88651",32.322056223477986
43,Crystal Russell,"9921 Raymond Mills Apt. 457, Davidfurt, PW 16711",68.13934557958626
44,Matthew Stephens,"7698 Michelle Tunnel, New Bobbyland, IA 78331",47.413942313605375
